TEAM_ID,TEAM_NAME,SEASON,RA_FGM,RA_FGA,PT_FGM,PT_FGA,MR_FGM,MR_FGA,AB_FGM,AB_FGA,CN_FGM,CN_FGA
1610612737,Atlanta Hawks,2016,1461,2422,317,806,573,1366,604,1736,210,578
1610612738,Boston Celtics,2016,1509,2507,373,1002,617,1667,539,1619,178,509
1610612751,Brooklyn Nets,2016,1291,2188,602,1389,712,1835,347,1021,183,472
1610612766,Charlotte Hornets,2016,1177,2028,363,893,623,1591,697,1975,175,425
1610612741,Chicago Bulls,2016,1288,2317,393,1027,833,2072,490,1337,160,401
1610612739,Cleveland Cavaliers,2016,1309,2055,372,938,610,1467,616,1756,261,662
1610612742,Dallas Mavericks,2016,1161,1871,397,953,700,1735,603,1803,201,519
1610612743,Denver Nuggets,2016,1526,2682,354,923,557,1454,508,1501,145,424
1610612765,Detroit Pistons,2016,1313,2232,470,1229,588,1478,529,1543,210,571
1610612744,Golden State Warriors,2016,1486,2338,344,887,582,1342,820,1956,252,610
1610612745,Houston Rockets,2016,1513,2472,362,942,341,899,592,1707,285,799
1610612754,Indiana Pacers,2016,1297,2094,378,886,804,2116,443,1321,213,540
1610612746,LA Clippers,2016,1226,1881,319,775,799,1913,563,1615,221,528
1610612747,Los Angeles Lakers,2016,1126,1999,438,1088,677,1854,505,1583,130,403
1610612763,Memphis Grizzlies,2016,1345,2386,459,1200,711,1752,364,1075,136,423
1610612748,Miami Heat,2016,1451,2222,453,1139,748,1856,292,892,203,569
1610612749,Milwaukee Bucks,2016,1625,2704,448,1105,632,1654,303,870,134,380
1610612750,Minnesota Timberwolves,2016,1398,2196,410,964,832,2160,345,1053,109,285
1610612740,New Orleans Pelicans,2016,1344,2324,355,939,752,1825,549,1478,151,457
1610612752,New York Knicks,2016,1078,1886,388,961,946,2277,438,1326,171,419
1610612760,Oklahoma City Thunder,2016,1534,2528,421,912,739,1696,470,1354,208,584
1610612753,Orlando Magic,2016,1352,2252,435,1051,819,2000,470,1341,166,452
1610612755,Philadelphia 76ers,2016,1419,2398,352,1018,435,1214,560,1693,203,548
1610612756,Phoenix Suns,2016,1368,2332,330,900,615,1668,558,1608,179,493
1610612757,Portland Trail Blazers,2016,1272,2200,330,846,701,1658,639,1748,225,573
1610612758,Sacramento Kings,2016,1561,2492,469,1260,593,1492,478,1389,182,434
1610612759,San Antonio Spurs,2016,1284,1974,502,1109,933,2196,401,1060,168,443
1610612761,Toronto Raptors,2016,1278,2147,449,1094,570,1512,472,1318,236,578
